WARNING  2019-10-04 03:13:27,020: Many workers - data center may refuse service (--download-workers 8)
DEFAULT  2019-10-04 03:13:28,728: ROVER version 1.0.4 - starting retrieve
DEFAULT  2019-10-04 03:13:28,729: Status available at http://127.0.0.1:8000
DEFAULT  2019-10-04 03:13:28,747: Trying new retrieval attempt 1 of 3.
DEFAULT  2019-10-04 03:13:29,094: Downloading TA_109C 2014-060 (N_S 1/10; day 1/17)
DEFAULT  2019-10-04 03:13:29,100: Downloading TA_109C 2014-061 (N_S 1/10; day 2/17)
DEFAULT  2019-10-04 03:13:29,107: Downloading TA_109C 2014-062 (N_S 1/10; day 3/17)
DEFAULT  2019-10-04 03:13:29,114: Downloading TA_109C 2014-063 (N_S 1/10; day 4/17)
DEFAULT  2019-10-04 03:13:29,121: Downloading TA_109C 2014-064 (N_S 1/10; day 5/17)
DEFAULT  2019-10-04 03:13:29,127: Downloading TA_109C 2014-065 (N_S 1/10; day 6/17)
DEFAULT  2019-10-04 03:13:29,134: Downloading TA_109C 2014-066 (N_S 1/10; day 7/17)
DEFAULT  2019-10-04 03:13:29,141: Downloading TA_109C 2014-067 (N_S 1/10; day 8/17)
DEFAULT  2019-10-04 03:13:43,392: Downloading TA_109C 2014-068 (N_S 1/10; day 9/17)
DEFAULT  2019-10-04 03:13:43,812: Downloading TA_109C 2014-069 (N_S 1/10; day 10/17)
DEFAULT  2019-10-04 03:13:43,923: Downloading TA_109C 2014-070 (N_S 1/10; day 11/17)
DEFAULT  2019-10-04 03:13:44,239: Downloading TA_109C 2014-071 (N_S 1/10; day 12/17)
DEFAULT  2019-10-04 03:13:44,246: Downloading TA_109C 2014-072 (N_S 1/10; day 13/17)
DEFAULT  2019-10-04 03:13:44,563: Downloading TA_109C 2014-073 (N_S 1/10; day 14/17)
DEFAULT  2019-10-04 03:13:44,571: Downloading TA_109C 2014-074 (N_S 1/10; day 15/17)
DEFAULT  2019-10-04 03:13:45,293: Downloading TA_109C 2014-075 (N_S 1/10; day 16/17)
DEFAULT  2019-10-04 03:13:57,799: Downloading TA_109C 2014-076 (N_S 1/10; day 17/17)
DEFAULT  2019-10-04 03:13:59,300: Downloading TA_121A 2014-060 (N_S 2/10; day 1/17)
DEFAULT  2019-10-04 03:13:59,412: Downloading TA_121A 2014-061 (N_S 2/10; day 2/17)
DEFAULT  2019-10-04 03:13:59,626: Downloading TA_121A 2014-062 (N_S 2/10; day 3/17)
DEFAULT  2019-10-04 03:13:59,840: Downloading TA_121A 2014-063 (N_S 2/10; day 4/17)
DEFAULT  2019-10-04 03:14:00,857: Downloading TA_121A 2014-064 (N_S 2/10; day 5/17)
DEFAULT  2019-10-04 03:14:00,968: Downloading TA_121A 2014-065 (N_S 2/10; day 6/17)
DEFAULT  2019-10-04 03:14:01,387: Downloading TA_121A 2014-066 (N_S 2/10; day 7/17)
DEFAULT  2019-10-04 03:14:01,703: Downloading TA_121A 2014-067 (N_S 2/10; day 8/17)
DEFAULT  2019-10-04 03:14:09,335: Downloading TA_121A 2014-068 (N_S 2/10; day 9/17)
DEFAULT  2019-10-04 03:14:09,447: Downloading TA_121A 2014-069 (N_S 2/10; day 10/17)
DEFAULT  2019-10-04 03:14:09,662: Downloading TA_121A 2014-070 (N_S 2/10; day 11/17)
DEFAULT  2019-10-04 03:14:10,292: Downloading TA_121A 2014-071 (N_S 2/10; day 12/17)
DEFAULT  2019-10-04 03:14:11,288: Downloading TA_121A 2014-072 (N_S 2/10; day 13/17)
DEFAULT  2019-10-04 03:14:11,976: Downloading TA_121A 2014-073 (N_S 2/10; day 14/17)
DEFAULT  2019-10-04 03:14:11,983: Downloading TA_121A 2014-074 (N_S 2/10; day 15/17)
DEFAULT  2019-10-04 03:14:12,511: Downloading TA_121A 2014-075 (N_S 2/10; day 16/17)
DEFAULT  2019-10-04 03:14:19,480: Downloading TA_121A 2014-076 (N_S 2/10; day 17/17)
DEFAULT  2019-10-04 03:14:19,829: Downloading TA_157A 2014-060 (N_S 3/10; day 1/17)
DEFAULT  2019-10-04 03:14:20,536: Downloading TA_157A 2014-061 (N_S 3/10; day 2/17)
