network,station,channel,latitude,longitude
BP, SMNB, BP1, 0, 0
BP, SMNB, BP2, 0, 0
BP, SMNB, BP3, 0, 0
BP, EADB, BP1, 0, 0
BP, EADB, BP2, 0, 0
BP, EADB, BP3, 0, 0
BP, FROB, BP1, 0, 0
BP, FROB, BP2, 0, 0
BP, FROB, BP3, 0, 0
BP, GHIB, BP1, 0, 0
BP, GHIB, BP2, 0, 0
BP, GHIB, BP3, 0, 0
BP, JCNB, BP1, 0, 0
BP, JCNB, BP2, 0, 0
BP, JCNB, BP3, 0, 0
BP, JCSB, BP1, 0, 0
BP, JCSB, BP2, 0, 0
BP, JCSB, BP3, 0, 0
BP, LCCB, BP1, 0, 0
BP, LCCB, BP2, 0, 0
BP, LCCB, BP3, 0, 0
BP, MMNB, BP1, 0, 0
BP, MMNB, BP2, 0, 0
BP, MMNB, BP3, 0, 0
BP, RMNB, BP1, 0, 0
BP, RMNB, BP2, 0, 0
BP, RMNB, BP3, 0, 0
BP, SCYB, BP1, 0, 0
BP, SCYB, BP2, 0, 0
BP, SCYB, BP3, 0, 0
